"PC1","PC2","PC3","poplabel"
-0.00604801074758911,-0.0216038383576076,-0.00101374998959668,6
-0.00628810535605097,-0.0216327827211927,-0.00286118993346388,6
-0.00676814316583404,-0.0221755094593745,-9.66093292576756e-05,6
-0.00795314962395411,-0.0201116349620812,-0.000952151888942425,6
-0.00573600814687806,-0.0213322844665344,-0.00204802267619175,6
-0.0398602253404954,0.0367910916702074,0.00340797047677597,1
-0.0390702524393533,0.0365038115748896,0.0032765713743019,1
-0.0370295607219115,0.0323762789343116,0.00273826614942849,1
-0.0402172450782714,0.037832170586473,0.00487982304010906,1
-0.0401141872643457,0.0377901150716766,0.00467545674276295,1
-0.036574712026246,0.0321607952997575,0.00439004051472824,1
-0.00357854766306209,-0.0166769003970671,-0.00283694372691503,6
-0.00612089674305273,-0.0198115315596636,-0.000748840453580079,6
-0.00612166936185174,-0.0187431135198356,-0.00193101402005051,6
-0.00327004686972726,-0.0144535013854121,-0.00476183008604771,6
-0.00525660840431206,-0.0190020014068385,-0.00123749478750534,6
0.0325226781407743,0.0178046390684289,0.0205871047556665,2
0.0325163154594552,0.0180709626491578,0.0160487319274917,2
0.0319224148611371,0.01765397409923,0.0120022799227781,2
0.0315551483814324,0.0171763278506686,0.0159448928197971,2
0.0316799969784686,0.0167309570462673,0.0160639291083168,2
0.0310840456631723,0.0167436710434526,0.0309129771747045,2
0.0322157752023315,0.0171764248877947,0.0298467565799273,2
0.0324174651850554,0.0174938132229347,0.0295588595827067,2
0.0316329826436615,0.0179271977355516,-0.0106052312056665,2
0.0310957586869561,0.0180183679187635,-0.0081067466859914,2
0.0317773948359659,0.019088234611542,-0.0116130966354003,2
0.0312315193512655,0.0187641076508157,-0.00981189190834612,2
0.0310442302257492,0.0177908986556148,-0.00783482244690332,2
-0.0075436976845424,-0.0232204239876449,0.000382957198495426,6
-0.00769664985721263,-0.0243660090093057,-0.00110151401336256,6
-0.00851771416804233,-0.0227989098553934,-0.000551760789929536,6
0.0148806395599357,-0.00161634279607796,0.0221661712885014,2
0.0182911991316683,0.00163424640138119,0.0241490372638145,2
0.0075944699243706,-0.00955301956163751,0.0155590881854359,2
0.0144075106841371,-0.00258386454440081,0.0188451056105964,2
-0.00201288453260955,-0.0209691624738725,0.00463122844347545,2
0.0209523597626293,0.00478870196004138,0.0263578550392097,2
-0.0171291913869797,-0.0075083383543215,-0.00242627976373017,0
-0.0175101122709315,-0.00753600117861341,-0.00148175438870665,0
-0.0167457163782649,-0.00674274070167234,-0.00110288410906789,0
0.0222938500433705,0.00961217492600008,-0.0110037597945131,2
0.0229615959005665,0.0101570140166718,-0.012008777087553,2
0.0233092689499324,0.00927869290430616,-0.0125957282661104,2
0.0217128244939299,0.00798338095234222,-0.00997996028852886,2
-0.00737616033540979,-0.0223897591683076,-0.00401411829224782,6
-0.00850374229926641,-0.0222257222108116,-0.00171754901848053,6
-0.00778068325935326,-0.0224822317279084,-0.00244861829936587,6
-0.00763048486788977,-0.0214254381044561,-0.00217690578022843,6
-0.00794260936043236,-0.0217623221999946,-0.00274908712583773,6
-0.00817059440506719,-0.0220737041990008,-0.00310406522996899,6
-0.00817690200166253,-0.0214291002788247,-0.00113788738483203,6
-0.00894424282324365,-0.0218341378273184,-0.00204463115367888,6
-0.00348592915317783,-0.0165652766350611,-0.00305228243633069,6
-0.00179547202715977,-0.0151131337586424,-0.00351089866109199,6
-0.00385625595811166,-0.0175948216443061,-0.00246136960254047,6
-0.00345344622986467,-0.0178198291704229,-0.00122637505535478,6
-0.0348406952235218,0.02895038980781,0.000577143019808684,0
-0.0281128478935648,0.0155073189815295,-0.00192985199656916,0
-0.0294293474128785,0.0158102436018123,-0.0017478457481478,0
-0.0424590119711363,0.0425700201874801,0.00329215656817768,0
-0.0422758766365155,0.0420251122140855,0.00243167116598658,0
-0.0422790693413593,0.0414102441095685,0.00206787315210275,0
-0.0424056587465706,0.0423124978363935,0.00261819114115481,0
-0.0378728773956423,0.0334879902965939,0.00137889592178348,0
-0.0291020138841132,0.0163238597760903,-0.000832910668027308,0
-0.0423953444526691,0.0417887376372187,0.0021451916629678,0
-0.0281603310519169,0.015144875045076,-0.00128548871076474,0
-0.0286153069898767,0.0167683612217912,-0.000638930809228438,0
-0.0363190792706481,0.030585642956297,0.000945522245317012,0
-0.00404621841099797,-0.0190250117142172,-0.00120243524004924,6
-0.00361530604315833,-0.0188963019204907,-0.000931437959575528,6
-0.0033783716358217,-0.0184138134484223,-0.00116703918821511,6
-0.00425836667020751,-0.0193637528896645,8.4571074782136e-05,6
-0.00248156713166932,-0.0179053834114552,-0.0025780624552316,6
-0.00261153481180846,-0.016597369418686,-0.00329983729649739,6
-0.00283315636962425,-0.0160139743799304,-0.0024714326483048,6
-0.00173077450027658,-0.016700045913539,-0.00400554305259263,6
-0.0364057929522943,0.0356594392261894,0.00238387364341505,0
-0.035867057084623,0.0343114293443842,0.00247077799782766,0
-0.00737053214277366,-0.0246504464291583,0.00179192867297704,6
-0.00735613752994822,-0.0253252923296983,0.00175849584169778,6
-0.00700321062586162,-0.024599821249721,0.00106694473212892,6
-0.00774404797390731,-0.0263466379788127,0.00266392462311442,6
-0.00732916110329257,-0.0244437357598016,0.00322816398124853,6
-0.00497768976727101,-0.0228832405086064,0.00310668423107196,6
-0.00519106292969145,-0.0227704993952304,0.0050482793457651,6
-0.00464969567629827,-0.0228287687672801,0.00299116344258104,6
-0.00497448713150713,-0.0224028353108302,0.00448773096259794,6
-0.0047557733291946,-0.0218312190497617,0.00370204880406097,6
0.0201368825668814,0.00691767319013524,-0.0133392951618561,2
0.0199472707198779,0.00730047100688612,-0.0115856453220588,2
0.0204537006985011,0.00734310668795003,-0.0128099825936793,2
0.019546458549529,0.0063816822795142,-0.0123160984982498,2
0.0192934322309308,0.0058531092420555,-0.0121620048950845,2
0.0277329482255219,0.0124333492189118,0.0763925581260386,1
0.0294702048004169,0.0137640511142808,0.083287144337153,1
0.0247715051461857,0.0099693357287099,0.0727299891454199,1
-0.0071491080563028,-0.0224087733075499,0.000999326170637862,6
-0.00736762165281823,-0.0240838740682257,0.00154486266451238,6
-0.00751231464851505,-0.0231154766580779,0.00118521030189691,6
-0.00676975327007651,-0.0236715834773492,0.00206101593206783,6
-0.00691601655497654,-0.0231674665406233,0.000157360462434232,6
-0.00441326372934512,-0.0204644115242718,0.00114421671392952,6
-0.00481032026339476,-0.0205858803987243,0.00122144284449761,6
-0.00535093440708598,-0.0205702769430748,-0.000336253493569811,6
-0.00364303315198431,-0.0205007047790714,0.00113358657828751,6
-0.00593258235209156,-0.021193887614191,0.000357881094831338,6
0.0289637976039807,0.0196275836462692,-0.0304460206738581,3
0.00378937477597432,-0.0126599794212763,0.00240932293589246,6
0.00480447243522778,-0.0125741687155986,0.00308377128684448,6
0.00275529829274492,-0.0132290284853189,0.000665071657124813,6
0.0030811745971421,-0.0128876236922462,0.00106873811523099,6
0.0042848136299982,-0.0111196799719207,0.000919848508657926,6
0.0321919767998267,0.0190352589666795,-0.0114599132010702,2
0.0319662825983519,0.0189647327236057,0.00171222320689955,2
-0.00662157720871524,-0.0237099118932493,0.00166965719078528,6
-0.00663247122074137,-0.0234486020894554,0.00114848828001276,6
